algorithm,pivot,dataset,size,run,time_s,peak_mem_bytes,comparisons,swaps,seed
merge,,sorted,1000,1,0.0021214999724179506,27377664,4932,0,42
merge,,sorted,1000,2,0.002018792030867189,27508736,4932,0,42
merge,,sorted,1000,3,0.0020350830163806677,27508736,4932,0,42
merge,,sorted,1000,4,0.002002707973588258,27508736,4932,0,42
merge,,sorted,1000,5,0.0019570000004023314,27508736,4932,0,42
merge,,sorted,5000,1,0.01232716697268188,27770880,29804,0,42
merge,,sorted,5000,2,0.011838499980513006,27951104,29804,0,42
merge,,sorted,5000,3,0.012822457996662706,27951104,29804,0,42
merge,,sorted,5000,4,0.01191929099150002,27951104,29804,0,42
merge,,sorted,5000,5,0.011811083008069545,27951104,29804,0,42
merge,,sorted,10000,1,0.025187874969560653,28016640,64608,0,42
merge,,sorted,10000,2,0.025747000006958842,28409856,64608,0,42
merge,,sorted,10000,3,0.02543825004249811,28409856,64608,0,42
merge,,sorted,10000,4,0.025632207980379462,28409856,64608,0,42
merge,,sorted,10000,5,0.0258330840151757,28409856,64608,0,42
merge,,sorted,50000,1,0.14894849999109283,31047680,382512,0,42
merge,,sorted,50000,2,0.14997875003609806,33275904,382512,0,42
merge,,sorted,50000,3,0.14839649997884408,33701888,382512,0,42
merge,,sorted,50000,4,0.14835204201517627,33701888,382512,0,42
merge,,sorted,50000,5,0.15029254101682454,33701888,382512,0,42
merge,,reverse,1000,1,0.0018516660202294588,33701888,5044,0,42
merge,,reverse,1000,2,0.0021191250416450202,33701888,5044,0,42
merge,,reverse,1000,3,0.0018385000294074416,33701888,5044,0,42
merge,,reverse,1000,4,0.001818082993850112,33701888,5044,0,42
merge,,reverse,1000,5,0.0018462910084053874,33701888,5044,0,42
merge,,reverse,5000,1,0.011773791979067028,33701888,32004,0,42
merge,,reverse,5000,2,0.012239834002684802,33701888,32004,0,42
merge,,reverse,5000,3,0.01261299999896437,33701888,32004,0,42
merge,,reverse,5000,4,0.011806958995293826,33701888,32004,0,42
merge,,reverse,5000,5,0.01208491699071601,33718272,32004,0,42
merge,,reverse,10000,1,0.025842334027402103,33718272,69008,0,42
merge,,reverse,10000,2,0.02584487496642396,33718272,69008,0,42
merge,,reverse,10000,3,0.025578833010513335,33718272,69008,0,42
merge,,reverse,10000,4,0.025737208023201674,33718272,69008,0,42
merge,,reverse,10000,5,0.029875334003008902,33718272,69008,0,42
merge,,reverse,50000,1,0.15026045800186694,33718272,401952,0,42
merge,,reverse,50000,2,0.1499786659842357,34127872,401952,0,42
merge,,reverse,50000,3,0.15061812498606741,34308096,401952,0,42
merge,,reverse,50000,4,0.15113937499700114,35225600,401952,0,42
merge,,reverse,50000,5,0.14968479197705165,35225600,401952,0,42
merge,,random,1000,1,0.0025072909775190055,35225600,8704,0,42
merge,,random,1000,2,0.0023767920210957527,35241984,8709,0,42
merge,,random,1000,3,0.0023880410008132458,35241984,8733,0,42
merge,,random,1000,4,0.0023984580184333026,35241984,8721,0,42
merge,,random,1000,5,0.0024005830055102706,35241984,8722,0,42
merge,,random,5000,1,0.01854862499749288,35291136,55192,0,42
merge,,random,5000,2,0.017533040954731405,35291136,55289,0,42
merge,,random,5000,3,0.017720375035423785,35291136,55157,0,42
merge,,random,5000,4,0.018087790987920016,35291136,55229,0,42
merge,,random,5000,5,0.017751957988366485,35291136,55238,0,42
merge,,random,10000,1,0.03925045795040205,35291136,120383,0,42
merge,,random,10000,2,0.038985125022009015,35291136,120541,0,42
